judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
John E Elliott,City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Monroe County,Rochester City Court,2004,,,,,,
Latoya S Lee,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe County,Monroe County Supreme Court,2022,,,,,,
Maria J Cubillos Reed,Family Court Judge,,2024-01-01,2033-12-31,Monroe County,Monroe County Supreme Court,2023,,,,,,
Fatimat O Reid,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe County,Monroe County Supreme Court,2019,7,,,,,
David J Whitcomb,City Court Judge,,2021-01-01,2026-12-31,Ontario County,Canandaigua City Court,2021,,,,,,
Kristina Karle,County Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Ontario County,Ontario County Supreme Ct(M-B),2019,,,,,,
Leslie Cohen-Hickey,City Court Judge,,2021-01-04,2027-01-03,Ontario County,Geneva City Court,2021,,,,,,
Frederick G Reed,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Ontario County,Ontario County Supreme Ct(M-B),2002,,,,,,
William J Hart,City Court Judge,,2020-01-01,2025-12-31,Ontario County,Geneva City Court,2020,,,,,,
Margaret M Reston,City Court Judge,ACT CNTY JGE,2025-01-01,2025-12-31,Ontario County,Canandaigua City Court,2025,,,,,,
Barry L Porsch,County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Seneca County,Seneca County Supreme Ct(M-B),2019,,,,,,
John N Dagon,City Court Judge,,2023-02-04,2029-02-03,Steuben County,Hornell City Court,2023,,,,,,
Mathew K Mccarthy,County Family Court Judge,,2025-01-01,2034-12-31,Steuben County,Steuben County Court (M-B),2014,,,,,,
Christopher M Tunney,Surrogate Court Judge,,2025-01-01,2034-12-31,Steuben County,Steuben County Surrogate's Ct,2025,,,,,,
George J Welch Jr,City Court Judge,,2021-03-04,2027-03-03,Steuben County,Corning City Court,2015,,,,,,
Chauncey J Watches,County Family Court Judge,,2019-01-01,2027-12-31,Steuben County,Steuben County Supreme Ct(M-B),2019,,,,,,
David E Coddington,City Court Judge,,2023-01-01,2028-12-31,Steuben County,Hornell City Court,2014,,,,,,
Christopher J Ferratella,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Steuben County,Corning City Court,2025,,,,,,
Richard M Healy,County Surrogate Family Court Judge,ACT SUP CT JUS,2017-01-01,2025-12-31,Wayne County,Wayne County Court (M-B),2017,7,County,,,,
John L Grow,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Wayne County,Wayne County Court (M-B),2024,,,,,,
Arthur B Williams Jr,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2026-12-31,Wayne County,Wayne County Court (M-B),2023,,,,,,
Mackenzie M Stutzman,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Yates County,Yates County Supreme Ct(M-B),2024,,,,,,
Thomas P Brown,County Surrogate Family Court Judge,ACT SUP CT JUS,2022-01-01,2025-12-31,Allegany County,Allegany County Supr Ct(M-B),2002,,,,,,
Terrence M Parker,County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Allegany County,Allegany County Supr Ct(M-B),2011,,,,,,
Ronald D Ploetz,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Cattaraugus County,Cattaraugus County Court (M-B),2007,,,,,,
Jay D Carr,City Court Judge,,2023-01-05,2028-12-31,Cattaraugus County,Salamanca City Court,2023,,,,,,
Moses M Howden,County Surrogate Family Court Judge,,2017-01-01,2026-12-31,Cattaraugus County,Cattaraugus County Court (M-B),2017,,,,,,
Nicholas A Dicerbo,City Court Judge,,2021-01-01,2030-12-31,Cattaraugus County,Olean City Court,2021,,,,,,
Matthew Swenson,City Court Judge,,2020-01-01,2025-12-31,Cattaraugus County,Salamanca City Court,2020,,,,,,
Matthew Swenson,City Court Judge,,2023-01-01,2028-12-31,Cattaraugus County,Olean City Court,2020,,,,,,
Stephen W Cass,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Chautauqua County,Chautauqua County Surrogate,1999,,,,,,
David W Foley,County Judge,,2016-01-01,2025-12-31,Chautauqua County,Chautauqua County Supreme Ct,2016,,,,,,
Michael J Sullivan,Family Court Judge,,2017-01-01,2026-12-31,Chautauqua County,Chautauqua County Family Court,2017,,,,,,
Peter R Johnson,Family Court Judge,,2025-01-01,2034-12-31,Chautauqua County,Chautauqua County Family Court,2025,,,,,,
George Panebianco,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Chautauqua County,Jamestown City Court,2005,,,,,,
John Lamancuso Jr,City Court Judge,,2024-01-01,2033-12-31,Chautauqua County,Jamestown City Court,2024,,,,,,
Rachel Roberts,City Court Judge,,2024-02-01,2030-01-31,Chautauqua County,Dunkirk City Court,2018,,,,,,
John M Kuzdale,City Court Judge,,2018-01-01,2027-12-31,Chautauqua County,Dunkirk City Court,1993,,,,,,
Sheila Ditullio,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Erie County,Erie County Court,1996,,,,,,
Phillip Dabney,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Erie County,Buffalo City Court,2020,,,,,,
John P Feroleto,City Court Judge,,2025-03-17,2025-12-31,Erie County,Buffalo City Court,2025,,,,,,
Rebecca A Town,City Court Judge,,2022-01-01,2031-12-31,Erie County,Buffalo City Court,2022,,,,,,
Brenda M Freedman,Family Court Judge,,2016-01-01,2025-12-31,Erie County,Erie County Family Court,2016,,,,,,
Shannon M Heneghan,City Court Judge,,2019-01-01,2028-12-31,Erie County,Buffalo City Court,2018,,,,,,
Mary G Carney,Family Court Judge,,2024-01-01,2033-12-31,Erie County,Erie County Family Court,2014,,,,,,
Kelly A Brinkworth,Family Court Judge,,2021-01-01,2030-12-31,Erie County,Erie County Family Court,2021,,,,,,
Suzanne Maxwellbarnes,County Judge,,2019-01-01,2029-12-31,Erie County,Erie County Court,2019,,,,,,
Barbara Johnson-Lee,City Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Erie County,Buffalo City Court,2015,,,,,,
Andrew C Lotempio,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Erie County,Buffalo City Court,2018,,,,,,
Shannon E Filbert,Family Court Judge,,2024-01-01,2033-12-31,Erie County,Erie County Family Court,2024,,,,,,
Deanne M Tripi,Family Court Judge,,2024-01-01,2033-12-31,Erie County,Erie County Family Court,2014,,,,,,
Jaharr S Pridgen,City Court Chief Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Erie County,Buffalo City Court,2015,8,City,,,,
Gary Wilson,City Court Judge,,2023-01-01,2032-12-31,Erie County,Buffalo City Court,2022,,,,,,
James F Bargnesi,County Judge,,2016-01-01,2025-12-31,Erie County,Erie County Court,2016,,,,,,
Rashied H Mcduffie,City Court Judge,,2025-01-01,2034-12-31,Erie County,Erie County Court,2025,,,,,,
Jeffrey M Harrington,Family Court Judge,,2025-01-01,2034-12-31,Erie County,Erie County Family Court,2025,,,,,,
John P Gaughan,City Court Judge,,2025-04-01,2031-03-31,Erie County,Lackawanna City Court,2025,,,,,,
Kenneth F Case,County Judge,,2021-01-01,2030-12-31,Erie County,Erie County Court,2011,,,,,,
Sharon M Lovallo,Family Court Judge,,2022-01-01,2031-12-31,Erie County,Erie County Family Court,2003,,,,,,
Mark E Saltarelli,City Court Judge,,2016-01-01,2025-12-31,Erie County,Tonawanda City Court,2008,,,,,,
Dean E Lilac,City Court Judge,,2020-01-01,2026-12-31,Erie County,Tonawanda City Court,2014,,,,,,
Acea M Mosey,Surrogate Court Judge,,2018-01-01,2027-12-31,Erie County,Erie County Surrogate's Court,2018,,,,,,
Kevin M Carter,Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Erie County,Erie County Family Court,2002,,,,,,
Peter J Savage,City Court Judge,,2020-01-01,2029-12-31,Erie County,Buffalo City Court,2019,,,,,,
Kenneth A Szyszkowski,City Court Judge,,2018-01-01,2027-12-31,Erie County,Lackawanna City Court,2018,,,,,,
Susan Etu Eagan,County Judge,,2018-01-01,2027-12-31,Erie County,Erie County Court,2011,,,,,,
Kara A Buscaglia,Family Court Judge,,2025-01-01,2034-12-31,Erie County,Erie County Family Court,2025,,,,,,
Tiffany Perry,City Court Judge,,2024-01-01,2033-12-31,Erie County,Buffalo City Court,2024,,,,,,
Erin E Hart,City Court Judge,,2025-01-01,2034-12-31,Erie County,Buffalo City Court,2025,,,,,,
Samuel P Davis,City Court Judge,,2023-01-01,2032-12-31,Erie County,Buffalo City Court,2022,,,,,,
Carrie A Phillips,City Court Judge,,2022-01-01,2031-12-31,Erie County,Buffalo City Court,2022,,,,,,
Andrea R Clattenburg,City Court Judge,,2023-09-11,2026-12-31,Genesee County,Genesee County Supreme Ct(M-B),2023,,,,,,
Thomas D Williams,Family Court Judge,,2021-01-01,2030-12-31,Genesee County,Genesee County Supreme Ct(M-B),2021,,,,,,
Melissa L Cianfrini,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Genesee County,Genesee County Supreme Ct(M-B),2022,,,,,,
Durin B Rogers,City Court Judge,,2020-01-01,2029-12-31,Genesee County,Batavia City Court,2015,,,,,,
Shawn P Nickerson,City Court Judge,,2017-01-01,2026-12-31,Niagara County,North Tonawanda City Court,2015,,,,,,
Kathleen M Wojtaszek-Gariano,Family Court Judge,,2022-01-01,2031-12-31,Niagara County,Niagara County Family Court,2001,,,,,,
John J Ottaviano Jr,County Surrogate Court Judge,,2022-01-01,2029-12-31,Niagara County,Niagara County Court,2022,,,,,,
Caroline A Wojtaszek,County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Niagara County,Niagara County Court,2021,,,,,,
Jason J Cafarella,City Court Judge,,2024-11-25,2025-12-31,Niagara County,Niagara Falls City Court,2024,,,,,,
Danielle M Restaino,City Court Chief Judge,,2016-01-01,2025-12-31,Niagara County,Niagara Falls City Court,2016,,,,,,
Thomas M Dimillo,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Niagara County,Lockport City Court,2005,,,,,,
James J Faso,City Court Judge,ACT FAM CT JGE,2018-01-01,2027-12-31,Niagara County,Niagara Falls City Court,2018,8,Town & Villiage,,,,
Erin P Delabio,Family Court Judge,,2018-01-01,2027-12-31,Niagara County,Niagara County Family Court,2018,,,,,,
Jenelle L Faso,City Court Judge,,2022-01-01,2031-12-31,Niagara County,Niagara Falls City Court,2022,,,,,,
Luke A Brown,City Court Judge,,2021-12-20,2027-12-19,Niagara County,North Tonawanda City Court,2021,,,,,,
William J Watson,City Court Judge,ACT CNTY JGE,2016-01-01,2025-12-31,Niagara County,Lockport City Court,2000,,,,,,
Angela Stamm-Philipps,Family Court Judge,,2025-01-01,2034-12-31,Niagara County,Niagara County Supreme Court,2025,,,,,,
Sanford A Church,County Surrogate Family Court Judge,,2018-01-01,2027-12-31,Orleans County,Orleans County Court (M-B),2018,,,,,,
Donald G Ogeen,County Surrogate Family Court Judge,,2024-01-01,2033-12-31,Wyoming County,Wyoming County Supreme Ct(M-B,2024,,,,,,
Keith Kibler,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Wyoming County,Wyoming County Family Ct(M-B),2020,8,Family,,,,
Rebecca S Mensch,City Court Judge,,2024-01-01,2029-12-31,Dutchess County,Beacon City Court,2001,,,,,,
Jessica Segal,County Judge,,2021-01-01,2030-12-31,Dutchess County,Dutchess County Supreme Court,2021,,,,,,
Tracy C Mackenzie,Family Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Dutchess County,Dutchess County Family Court,2016,,,,,,
Michael G Hayes,Surrogate Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess County,Dutchess County Supreme Court,2019,,,,,,
Scott L Volkman,City Court Judge,,2019-01-01,2028-12-31,Dutchess County,Poughkeepsie City Court,2019,,,,,,
Edward Mcloughlin,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Dutchess County,Dutchess County Court,2016,,,,,,
Jeffrey C Martin,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess County,Dutchess County Family Court,2019,,,,,,
Frank M Mora,City Court Judge,,2021-01-01,2030-12-31,Dutchess County,Poughkeepsie City Court,2011,,,,,,
Joseph Egitto,Family Court Judge,ACT SUP CT JUS,2024-01-01,2030-12-31,Dutchess County,Dutchess County Family Court,2014,9,Family,,,,
Denise M Watson,Family Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Dutchess County,Dutchess County Family Court,2012,,,,,,
Gregory J Johnston,City Court Judge,,2022-01-01,2031-12-31,Dutchess County,Beacon City Court,2022,,,,,,
Steven W Brockett,City Court Judge,,2016-01-01,2025-12-31,Orange County,Middletown City Court,2005,,,,,,
Craig S Brown,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Orange County,Orange County Court,2016,,,,,,
Theresa R Cayton,City Court Judge,,2024-01-01,2033-12-31,Orange County,Middletown City Court,2024,,,,,,
Joanne Forbes,City Court Judge,,2021-02-22,2031-02-08,Orange County,Newburgh City Court,2021,,,,,,
Matthew D Witherow,City Court Judge,,2021-01-27,2027-01-26,Orange County,Port Jervis City Court,2009,,,,,,
Richard J Guertin,County Judge,,2024-01-01,2025-12-31,Orange County,Orange County Court,2003,,,,,,
Victoria B Campbell,Family Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Orange County,Orange County Family Court,1997,,,,,,
Christine P Krahulik,Family Court Judge,,2025-01-01,2034-12-31,Orange County,Orange County Family Court,2015,,,,,,
Kiel E Van Horn,City Court Judge,,2025-01-01,2030-12-31,Orange County,Port Jervis City Court,2024,,,,,,
James M Hendry Iii,Family Court Judge,,2024-01-01,2033-12-31,Orange County,Orange County Family Court,2015,,,,,,
Anika Mohammed,City Court Judge,,2022-01-01,2031-12-31,Orange County,Newburgh City Court,2021,,,,,,
Timothy Mcelduff Jr,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Orange County,Orange County Surrogate's Ct,2020,,,,,,
Carol S Klein,Family Court Judge,ACT SUP CT JUS,2021-01-01,2025-12-31,Orange County,Orange County Supreme Court,2001,,,,,,
Hyun Chin Kim,County Judge,,2021-01-01,2030-12-31,Orange County,Orange County Supreme Court,2021,,,,,,
Paul D Trachte,City Court Judge,,2025-01-01,2033-12-31,Orange County,Newburgh City Court,2015,,,,,,
Anthony R Mole,County Surrogate Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Putnam County,Putnam County Court (M-B),2021,,,,,,
Joseph Spofford Jr,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Putnam County,Putnam County Supreme Ct(M-B),2020,,,,,,
Christopher J Exias,Family Court Judge,,2024-01-01,2033-12-31,Rockland County,Rockland County Family Court,2024,,,,,,
Kevin F Russo,County Judge,,2017-01-01,2026-12-31,Rockland County,Rockland County Court,2017,,,,,,
Andrea F Composto,Family Court Judge,,2025-01-01,2034-12-31,Rockland County,Rockland County Family Court,2025,,,,,,
Djinsad Desir,County Judge,,2025-01-01,2034-12-31,Rockland County,Rockland County Family Court,2024,,,,,,
David M Ascher,County Judge,,2025-01-01,2034-12-31,Rockland County,Rockland County Family Court,2024,,,,,,
Keith J Cornell,Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rockland County,Rockland County Surrogate's Ct,2018,,,,,,
Maurice D Williams,County Judge,,2023-01-01,2032-12-31,Rockland County,Rockland County Supreme Court,2023,,,,,,
Eileen Songer Mccarthy,City Court Judge,,2021-01-05,2031-01-04,Westchester County,New Rochelle City Court,2021,,,,,,
Jared R Rice,City Court Judge,,2020-01-01,2029-12-31,Westchester County,Westchester County Family Ct,2020,,,,,,
Brandon R Sall,Surrogate Court Judge,,2016-01-01,2025-12-31,Westchester County,Westchester County Surrogate,2015,,,,,,
Robert J Prisco,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Westchester County,Westchester County Supreme Ct,2020,,,,,,
Tamika A Coverdale,City Court Judge,,2024-01-01,2033-12-31,Westchester County,Mount Vernon City Court,2022,,,,,,
Ann B Bianchi,County Judge,,2024-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2024,,,,,,
Karl A Scully,City Court Judge,,2025-03-14,2025-12-31,Westchester County,Mount Vernon City Court,2025,,,,,,
Karen N Best,City Court Judge,,2021-01-01,2030-12-31,Westchester County,Yonkers City Court,2021,,,,,,
Lissette G Fernandez,City Court Judge,,2020-01-27,2025-12-31,Westchester County,Peekskill City Court,2020,,,,,,
Melissa Loehr,County Judge,,2020-01-01,2029-12-31,Westchester County,Westchester County Family Ct,2017,,,,,,
Peter Saint George Davis,City Court Judge,,2025-01-01,2025-12-31,Westchester County,Mount Vernon City Court,2022,,,,,,
Allison E Burke,Family Court Judge,,2025-01-01,2034-12-31,Westchester County,Westchester County Supreme Ct,2025,,,,,,
Karen T Beltran,City Court Judge,,2024-01-01,2033-12-31,Westchester County,Yonkers City Court,2023,,,,,,
Taylor A Piscionere-Konicoff,City Court Judge,,2023-01-01,2028-12-31,Westchester County,Rye City Court,2023,,,,,,
Evan Inlaw,City Court Judge,,2025-01-01,2034-12-31,Westchester County,Yonkers City Court,2015,,,,,,
Helen M Blackwood,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Westchester County,Westchester County Supreme Ct,2009,,,,,,
Valerie A Livingston,City Court Judge,,2023-01-01,2032-12-31,Westchester County,Rye City Court,2020,,,,,,
Michelle K Bernstein,City Court Judge,,2024-12-30,2025-12-31,Westchester County,New Rochelle City Court,2024,,,,,,
George E Fufidio,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Westchester County,Westchester County Court,2018,,,,,,
Arlene Gordon-Oliver,Family Court Judge,,2018-01-01,2027-12-31,Westchester County,Westchester County Family Ct,2018,,,,,,
Ada D Medina,City Court Judge,,2023-01-01,2032-12-31,Westchester County,Yonkers City Court,2022,,,,,,
Arthur J Doran Iii,City Court Chief Judge,,2024-01-01,2031-12-31,Westchester County,Yonkers City Court,2004,,,,,,
Nilda Morales-Horowitz,Family Court Judge,,2021-01-01,2029-12-31,Westchester County,Westchester County Family Ct,2001,,,,,,
John P Collins Jr,City Court Judge,,2019-08-08,2029-08-07,Westchester County,White Plains City Court,2019,,,,,,
Eric P Press,City Court Judge,,2015-12-19,2025-12-18,Westchester County,White Plains City Court,2003,,,,,,
Sharon G Matthie,Family Court Judge,,2025-01-01,2034-12-31,Westchester County,Westchester County Family Ct,2025,,,,,,
Verris B Shako,City Court Judge,,2021-01-01,2030-12-31,Westchester County,Yonkers City Court,2021,,,,,,
Susan M Capeci,County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Westchester County,Westchester County Court,2008,9,Problem Solving Courts,,,,
Nichelle Johnson,City Court Judge,,2017-01-01,2026-12-31,Westchester County,Mount Vernon City Court,2016,,,,,,
Raynette N Brewster,Family Court Judge,,2025-01-01,2034-12-31,Westchester County,Westchester County Supreme Ct,2025,,,,,,
Sheralyn Pulver,County Judge,,2025-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2025,,,,,,
Wayne A Humphrey,Family Court Judge,,2020-01-01,2029-12-31,Westchester County,Westchester County Court,2020,,,,,,
Daniel Paul Romano,City Court Judge,,2021-01-01,2030-12-31,Westchester County,Yonkers City Court,2021,,,,,,
Michelle I Schauer,Family Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Westchester County,Westchester County Supreme Ct,2011,,,,,,
Sophia L Trott,City Court Judge,,2025-01-01,2034-12-31,Westchester County,Peekskill City Court,2025,,,,,,
Maritza Fugaro-Norton,Family Court Judge,,2025-01-01,2034-12-31,Westchester County,Westchester County Supreme Ct,2025,,,,,,
Grace Oboma-Layat,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2025-12-31,Bronx County,Bronx County Family Court,2023,,,,,,
Judith S Lieb,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2030-12-31,Bronx County,Bronx County Supreme Court,1999,,,,,,
Juan Abreu,Criminal Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Laurence E Busching,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,Bronx County Supreme Court,2013,,,,,,
Juanita Wing,Family Court Judge NYC,,2024-10-02,2026-11-15,Bronx County,Bronx County Family Court,2024,,,,,,
Ronna H Gordon-Galchus,Family Court Judge NYC,,2019-05-14,2029-05-13,Bronx County,Bronx County Family Court,2019,,,,,,
Karen Mc Cortes-Tower,Family Court Judge NYC,,2019-01-28,2026-01-27,Bronx County,Bronx County Family Court,2019,,,,,,
Lisa Daley,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Family Court,2025,,,,,,
Michael D Kitsis,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2025-12-31,Kings County,Kings Supreme Criminal,2016,,,,,,
Heidi Claire Cesare,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Danny K Chun,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings County,Kings Supreme Criminal,1999,,,,,,
Claudia L Daniels-Depeyster,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Sharon N Clarke,Family Court Judge NYC,,2023-02-15,2028-12-31,Kings County,Kings Supreme Criminal,2023,,,,,,
Dale Fong-Frederick,Criminal Court Judge NYC,,2023-01-01,2032-12-31,Kings County,"NYC Criminal Ct, Kings County",2022,,,,,,
Kim Petersen,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings Supreme Criminal,2016,,,,,,
Robert Markoff,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2023,,,,,,
Deepa Ambekar,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings County,Kings Supreme Criminal,2018,,,,,,
Valerie A Pels,Family Court Judge NYC,,2021-04-01,2031-03-31,New York County,New York County Family Court,2013,,,,,,
Robert M Mandelbaum,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York County,"NYC Civil Ct, New York County",2006,,,,,,
Valentina M Morales,Criminal Court Judge NYC,ACT SUP CT JUS,2021-08-11,2026-12-31,New York County,New York County Criminal Court,2021,,,,,,
Kevin B Mcgrath Jr,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Criminal Court,2008,"NYC, Crim",Criminal,,,,
Pamela Goldsmith,Criminal Court Judge NYC,,2023-04-19,2032-12-31,New York County,"NYC Civil Ct, New York County",2023,,,,,,
Pamela B Scheininger,Family Court Judge NYC,,2024-09-04,2034-08-02,New York County,New York County Family Court,2024,,,,,,
Kathryn Paek,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York County,New York County Criminal Court,2015,,,,,,
Michael E Ryan,Criminal Court Judge NYC,,2023-01-01,2032-12-31,New York County,New York County Criminal Court,2022,,,,,,
Jay L Weiner,Criminal Court Judge NYC,,2021-01-01,2029-12-31,New York County,New York County Criminal Court,2019,,,,,,
Amanda E White,Family Court Judge NYC,,2022-08-31,2032-08-30,New York County,New York County Family Court,2011,,,,,,
Ira R Greenberg,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens County,"NYC Civil Court, Queens County",2019,Queens,Civil,,,,
Michael J Hartofilis,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2025-12-31,Queens County,Queens Supreme Criminal Term,2018,,,,,,
Melissa Deberry,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,"NYC Civil Court, Queens County",2025,,,,,,
Elizabeth J Newton,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2028-12-31,Queens County,Queens County Family Court,2025,,,,,,
Michael H Goldman,Civil Court Judge NYC,,2024-01-01,2033-12-31,Queens County,"NYC Civil Court, Queens County",2024,,,,,,
Soma S Syed,Civil Court Judge NYC,,2022-01-01,2031-12-31,Queens County,"NYC Civil Court, Queens County",2022,,,,,,
Amish R Doshi,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,"NYC Civil Court, Queens County",2025,,,,,,
Joseph Kasper,Civil Court Judge NYC,,2022-01-01,2026-12-31,Queens County,"NYC Civil Court, Queens County",2022,,,,,,
Toni M Cimino,Criminal Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Queens County,Queens Supreme Criminal Term,2016,,,,,,
Sandra Perez,Civil Court Judge NYC,,2024-01-01,2033-12-31,Queens County,"NYC Civil Court, Queens County",2024,,,,,,
Cassandra Johnson,Surrogate Court Judge,,2025-01-01,2034-12-31,Queens County,Queens Supreme Civil Term,2022,,,,,,
Sharifa M Nasser-Cuellar,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,Queens Supreme Criminal Term,2025,,,,,,
Glenda M Hernandez,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,Queens Supreme Criminal Term,2025,,,,,,
Peter Lane,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens County,"NYC Civil Court, Queens County",2025,,,,,,
Tamra Walker,Family Court Judge NYC,,2021-06-14,2027-10-27,Queens County,Queens County Family Court,2021,,,,,,
Maria T Gonzalez,Civil Court Judge NYC,,2023-01-01,2031-12-31,Queens County,Queens Supreme Criminal Term,2023,,,,,,
Evelyn Gong,Civil Court Judge NYC,,2024-01-01,2033-12-31,Queens County,"NYC Civil Court, Queens County",2024,,,,,,
Keith E Brown,Family Court Judge NYC,ACT SUP CT JUS,2019-05-05,2029-05-04,Richmond County,Richmond County Family Court,2019,,,,,,
Karen B Wolff,Family Court Judge NYC,,2015-12-29,2025-12-28,Richmond County,Richmond County Family Court,2010,,,,,,
Judith D Waksberg,Family Court Judge NYC,,2018-03-25,2025-12-31,Bronx County,Bronx County Family Court,2015,,,,,,
Scott M Krompinger,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Joaquin E Orellana,Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2024,,,,,,
Taisha Chambers,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx County,Bronx County Sup Ct Civil Term,2023,Bronx,Civil,,,,
Cynthia Isales,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx County,Bronx County Supreme Court,2023,,,,,,
Yadhira Gonzalez-Taylor,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx County,Bronx County Supreme Court,2023,Bronx,Criminal,,,,
David Kaplan,Family Court Judge NYC,,2015-10-30,2025-10-29,Bronx County,Bronx County Family Court,2008,,,,,,
Angel Cruz,Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Bronx County,Bronx County Family Court,2025,,,,,,
Nelida Malave-Gonzalez,Surrogate Court Judge,,2013-01-01,2026-12-31,Bronx County,Bronx County Surrogate's Court,2005,,,,,,
Joseph A Mccormack,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Bronx County,Bronx County Supreme Court,2017,,,,,,
Matthew V Grieco,Criminal Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2023,,,,,,
